precipitation_error,lead_hours,model,abs_error
6.518,48,ecmwf_ifs025,6.518
5.863,45,gfs_seamless,5.863
4.608,36,gfs_seamless,4.608
4.544,24,dwd_icon,4.544
4.341,45,gfs_seamless,4.341
4.18,48,gfs_seamless,4.18
4.054,39,dwd_icon,4.054
3.982,42,gfs_seamless,3.982
3.849,45,gfs_seamless,3.849
3.838,48,ecmwf_ifs025,3.838
3.676,42,gfs_seamless,3.676
3.627,36,gfs_seamless,3.627
3.598,48,ecmwf_ifs025,3.598
3.51,48,gfs_seamless,3.51
3.499,45,gfs_seamless,3.499
3.41,36,dwd_icon,3.41
3.344,36,gfs_seamless,3.344
3.31,33,gfs_seamless,3.31
3.305,45,dwd_icon,3.305
3.229,33,gfs_seamless,3.229
3.219,48,gfs_seamless,3.219
3.154,33,dwd_icon,3.154
3.073,45,ecmwf_ifs025,3.073
3.041,36,gfs_seamless,3.041
2.998,21,gfs_seamless,2.998
2.944,36,ecmwf_ifs025,2.944
2.926,36,gfs_seamless,2.926
2.856,24,gfs_seamless,2.856
2.848,33,gfs_seamless,2.848
2.845,45,gfs_seamless,2.845
2.838,42,ecmwf_ifs025,2.838
2.782,39,gfs_seamless,2.782
2.764,36,gfs_seamless,2.764
2.748,30,dwd_icon,2.748
2.73,48,ecmwf_ifs025,2.73
2.704,48,ecmwf_ifs025,2.704
2.685,42,gfs_seamless,2.685
2.653,48,dwd_icon,2.653
2.631,45,dwd_icon,2.631
2.631,48,gfs_seamless,2.631
2.604,39,gfs_seamless,2.604
2.566,48,ecmwf_ifs025,2.566
2.558,39,ecmwf_ifs025,2.558
2.549,33,dwd_icon,2.549
2.542,39,ecmwf_ifs025,2.542
2.501,24,gfs_seamless,2.501
2.462,48,dwd_icon,2.462
2.431,39,ecmwf_ifs025,2.431
2.361,24,gfs_seamless,2.361
2.355,36,ecmwf_ifs025,2.355
2.353,39,gfs_seamless,2.353
2.349,45,gfs_seamless,2.349
2.343,45,gfs_seamless,2.343
2.309,48,gfs_seamless,2.309
2.301,30,dwd_icon,2.301
2.265,48,gfs_seamless,2.265
2.233,24,gfs_seamless,2.233
2.232,27,dwd_icon,2.232
2.2,24,gfs_seamless,2.2
2.193,45,ecmwf_ifs025,2.193
2.185,42,dwd_icon,2.185
2.171,33,dwd_icon,2.171
2.162,21,gfs_seamless,2.162
2.161,39,dwd_icon,2.161
2.153,33,gfs_seamless,2.153
2.147,42,gfs_seamless,2.147
2.134,45,dwd_icon,2.134
2.131,48,dwd_icon,2.131
2.113,39,dwd_icon,2.113
2.099,48,ecmwf_ifs025,2.099
2.076,42,dwd_icon,2.076
2.074,48,dwd_icon,2.074
2.06,21,gfs_seamless,2.06
2.046,27,ecmwf_ifs025,2.046
2.024,42,ecmwf_ifs025,2.024
2.022,48,ecmwf_ifs025,2.022
2.005,21,dwd_icon,2.005
1.995,30,gfs_seamless,1.995
1.966,33,gfs_seamless,1.966
1.947,42,dwd_icon,1.947
1.946,45,gfs_seamless,1.946
1.945,48,dwd_icon,1.945
1.932,48,ecmwf_ifs025,1.932
1.929,27,dwd_icon,1.929
1.898,18,gfs_seamless,1.898
1.889,24,ecmwf_ifs025,1.889
1.888,33,ecmwf_ifs025,1.888
1.877,30,dwd_icon,1.877
1.872,24,dwd_icon,1.872
1.858,12,gfs_seamless,1.858
1.851,24,ecmwf_ifs025,1.851
1.836,45,gfs_seamless,1.836
1.785,42,ecmwf_ifs025,1.785
1.781,48,ecmwf_ifs025,1.781
1.778,21,dwd_icon,1.778
1.752,39,ecmwf_ifs025,1.752
1.751,45,dwd_icon,1.751
1.744,21,ecmwf_ifs025,1.744
1.734,42,ecmwf_ifs025,1.734
1.729,39,gfs_seamless,1.729
