temperature_2m_error,lead_hours,model,abs_error
-4.015,27,ecmwf_ifs025,4.015
-3.9,39,gfs_seamless,3.9
-3.815,45,gfs_seamless,3.815
3.738,39,dwd_icon,3.738
3.726,45,dwd_icon,3.726
3.585,39,dwd_icon,3.585
3.46,48,dwd_icon,3.46
-3.421,42,gfs_seamless,3.421
-3.337,39,dwd_icon,3.337
3.323,39,dwd_icon,3.323
-3.274,36,ecmwf_ifs025,3.274
3.207,21,gfs_seamless,3.207
3.198,42,gfs_seamless,3.198
-3.193,39,gfs_seamless,3.193
-3.133,33,gfs_seamless,3.133
3.075,18,gfs_seamless,3.075
3.049,48,ecmwf_ifs025,3.049
3.029,36,gfs_seamless,3.029
-2.984,45,dwd_icon,2.984
2.977,42,gfs_seamless,2.977
-2.937,33,dwd_icon,2.937
-2.934,42,dwd_icon,2.934
-2.931,48,gfs_seamless,2.931
-2.918,42,dwd_icon,2.918
2.916,42,gfs_seamless,2.916
-2.904,45,gfs_seamless,2.904
2.893,36,dwd_icon,2.893
-2.876,48,gfs_seamless,2.876
2.855,45,gfs_seamless,2.855
-2.846,42,gfs_seamless,2.846
-2.82,30,gfs_seamless,2.82
2.817,48,ecmwf_ifs025,2.817
-2.796,21,gfs_seamless,2.796
-2.696,48,gfs_seamless,2.696
-2.683,36,dwd_icon,2.683
-2.652,45,gfs_seamless,2.652
-2.651,33,gfs_seamless,2.651
2.642,39,gfs_seamless,2.642
2.622,27,dwd_icon,2.622
-2.619,48,dwd_icon,2.619
-2.615,30,gfs_seamless,2.615
-2.577,36,ecmwf_ifs025,2.577
-2.571,24,gfs_seamless,2.571
-2.554,48,gfs_seamless,2.554
2.488,36,dwd_icon,2.488
2.481,42,dwd_icon,2.481
2.477,36,dwd_icon,2.477
2.47,42,gfs_seamless,2.47
-2.461,33,dwd_icon,2.461
2.449,33,gfs_seamless,2.449
-2.442,45,gfs_seamless,2.442
2.437,30,gfs_seamless,2.437
-2.434,36,dwd_icon,2.434
-2.413,48,dwd_icon,2.413
2.389,42,dwd_icon,2.389
2.383,45,ecmwf_ifs025,2.383
-2.354,39,dwd_icon,2.354
2.353,33,dwd_icon,2.353
2.348,27,gfs_seamless,2.348
-2.303,45,dwd_icon,2.303
-2.296,36,dwd_icon,2.296
2.289,36,gfs_seamless,2.289
2.279,42,ecmwf_ifs025,2.279
2.277,36,gfs_seamless,2.277
2.267,30,gfs_seamless,2.267
-2.253,45,gfs_seamless,2.253
2.246,42,dwd_icon,2.246
-2.226,15,dwd_icon,2.226
2.225,27,gfs_seamless,2.225
2.225,45,ecmwf_ifs025,2.225
2.213,45,ecmwf_ifs025,2.213
-2.163,42,dwd_icon,2.163
-2.142,48,dwd_icon,2.142
-2.114,42,dwd_icon,2.114
2.103,30,gfs_seamless,2.103
-2.103,36,gfs_seamless,2.103
-2.101,27,dwd_icon,2.101
2.097,30,dwd_icon,2.097
2.091,39,ecmwf_ifs025,2.091
-2.07,33,gfs_seamless,2.07
2.047,21,gfs_seamless,2.047
2.024,39,dwd_icon,2.024
2.022,48,dwd_icon,2.022
-2.019,42,dwd_icon,2.019
-2.01,30,dwd_icon,2.01
1.998,36,dwd_icon,1.998
1.994,36,dwd_icon,1.994
-1.972,30,gfs_seamless,1.972
1.968,45,ecmwf_ifs025,1.968
-1.966,33,dwd_icon,1.966
1.961,45,dwd_icon,1.961
-1.96,45,gfs_seamless,1.96
-1.951,42,gfs_seamless,1.951
-1.951,24,dwd_icon,1.951
-1.945,45,gfs_seamless,1.945
-1.94,36,ecmwf_ifs025,1.94
1.937,27,gfs_seamless,1.937
1.935,33,gfs_seamless,1.935
1.918,24,gfs_seamless,1.918
-1.914,45,gfs_seamless,1.914
