wind_speed_10m_error,lead_hours,model,abs_error
5.039,42,gfs_seamless,5.039
-4.805,39,gfs_seamless,4.805
-3.959,42,gfs_seamless,3.959
-3.812,42,gfs_seamless,3.812
-3.809,45,dwd_icon,3.809
-3.501,39,gfs_seamless,3.501
-3.448,42,ecmwf_ifs025,3.448
-3.372,36,ecmwf_ifs025,3.372
-3.362,36,gfs_seamless,3.362
3.35,39,ecmwf_ifs025,3.35
-3.227,48,gfs_seamless,3.227
3.01,48,gfs_seamless,3.01
-2.991,39,ecmwf_ifs025,2.991
2.935,48,gfs_seamless,2.935
2.922,33,dwd_icon,2.922
-2.886,36,gfs_seamless,2.886
-2.88,45,gfs_seamless,2.88
2.863,45,dwd_icon,2.863
2.862,33,dwd_icon,2.862
-2.79,36,ecmwf_ifs025,2.79
2.788,30,gfs_seamless,2.788
-2.758,18,dwd_icon,2.758
2.741,42,dwd_icon,2.741
2.666,39,ecmwf_ifs025,2.666
2.645,39,gfs_seamless,2.645
-2.642,48,gfs_seamless,2.642
-2.638,48,gfs_seamless,2.638
2.595,45,ecmwf_ifs025,2.595
2.592,45,gfs_seamless,2.592
2.559,33,gfs_seamless,2.559
2.468,27,dwd_icon,2.468
-2.46,27,dwd_icon,2.46
-2.423,48,dwd_icon,2.423
2.4,21,dwd_icon,2.4
-2.395,12,gfs_seamless,2.395
2.387,36,gfs_seamless,2.387
-2.384,39,gfs_seamless,2.384
2.37,27,gfs_seamless,2.37
-2.362,39,dwd_icon,2.362
-2.359,24,ecmwf_ifs025,2.359
2.35,15,ecmwf_ifs025,2.35
2.341,33,ecmwf_ifs025,2.341
-2.338,48,gfs_seamless,2.338
2.331,30,gfs_seamless,2.331
2.324,36,gfs_seamless,2.324
2.322,48,ecmwf_ifs025,2.322
2.282,39,dwd_icon,2.282
-2.259,27,dwd_icon,2.259
2.258,48,ecmwf_ifs025,2.258
2.257,27,gfs_seamless,2.257
2.234,27,dwd_icon,2.234
2.204,36,ecmwf_ifs025,2.204
2.177,21,gfs_seamless,2.177
-2.173,33,ecmwf_ifs025,2.173
2.157,48,ecmwf_ifs025,2.157
2.155,30,dwd_icon,2.155
-2.137,21,gfs_seamless,2.137
2.131,24,dwd_icon,2.131
-2.13,45,dwd_icon,2.13
-2.106,24,gfs_seamless,2.106
2.098,24,dwd_icon,2.098
-2.096,48,dwd_icon,2.096
2.096,30,gfs_seamless,2.096
2.093,15,dwd_icon,2.093
2.092,39,ecmwf_ifs025,2.092
-2.065,45,ecmwf_ifs025,2.065
2.061,30,dwd_icon,2.061
-2.061,33,dwd_icon,2.061
-2.059,48,gfs_seamless,2.059
2.046,27,dwd_icon,2.046
2.039,30,gfs_seamless,2.039
2.031,45,gfs_seamless,2.031
-2.019,45,dwd_icon,2.019
-2.012,36,ecmwf_ifs025,2.012
2.0,9,dwd_icon,2.0
-1.998,45,ecmwf_ifs025,1.998
1.995,48,ecmwf_ifs025,1.995
1.994,39,dwd_icon,1.994
1.994,27,gfs_seamless,1.994
1.984,18,gfs_seamless,1.984
1.963,24,gfs_seamless,1.963
-1.953,42,ecmwf_ifs025,1.953
-1.934,36,ecmwf_ifs025,1.934
-1.933,39,ecmwf_ifs025,1.933
1.919,45,gfs_seamless,1.919
-1.916,39,ecmwf_ifs025,1.916
1.912,48,dwd_icon,1.912
1.905,33,dwd_icon,1.905
1.903,45,dwd_icon,1.903
1.902,42,gfs_seamless,1.902
1.895,42,ecmwf_ifs025,1.895
-1.895,27,dwd_icon,1.895
1.891,27,gfs_seamless,1.891
1.886,27,gfs_seamless,1.886
-1.883,45,dwd_icon,1.883
-1.88,42,dwd_icon,1.88
-1.873,48,ecmwf_ifs025,1.873
1.872,36,dwd_icon,1.872
-1.872,39,dwd_icon,1.872
1.871,45,gfs_seamless,1.871
